Retweets_Midpoint,Bin_Start,Bin_End,Frequency
1197.589,-126.062,2521.24,134142
3781.8599999999997,2521.24,5042.48,34
6303.1,5042.48,7563.72,8
8824.34,7563.72,10084.96,3
11345.58,10084.96,12606.2,3
13866.82,12606.2,15127.44,4
16388.06,15127.44,17648.68,1
18909.3,17648.68,20169.92,1
21430.54,20169.92,22691.16,0
23951.78,22691.16,25212.4,0
26473.02,25212.4,27733.64,0
28994.260000000002,27733.64,30254.88,0
31515.5,30254.88,32776.12,0
34036.740000000005,32776.12,35297.36,0
36557.979999999996,35297.36,37818.6,0
39079.22,37818.6,40339.84,0
41600.46,40339.84,42861.08,0
44121.7,42861.08,45382.32,0
46642.94,45382.32,47903.56,0
49164.18,47903.56,50424.8,0
51685.42,50424.8,52946.04,0
54206.66,52946.04,55467.28,0
56727.899999999994,55467.28,57988.52,1
59249.14,57988.52,60509.76,0
61770.380000000005,60509.76,63031.0,0
64291.62,63031.0,65552.24,0
66812.86,65552.24,68073.48,0
69334.1,68073.48,70594.72,0
71855.34,70594.72,73115.96,0
74376.58,73115.96,75637.2,0
76897.82,75637.2,78158.44,0
79419.06,78158.44,80679.68,0
81940.29999999999,80679.68,83200.92,0
84461.54000000001,83200.92,85722.16,0
86982.78,85722.16,88243.4,0
89504.01999999999,88243.4,90764.64,0
92025.26000000001,90764.64,93285.88,0
94546.5,93285.88,95807.12,0
97067.73999999999,95807.12,98328.36,0
99588.98000000001,98328.36,100849.6,0
102110.22,100849.6,103370.84,0
104631.45999999999,103370.84,105892.08,0
107152.70000000001,105892.08,108413.32,0
109673.94,108413.32,110934.56,0
112195.18,110934.56,113455.8,0
114716.42,113455.8,115977.04,0
117237.66,115977.04,118498.28,0
119758.9,118498.28,121019.52,0
122280.14,121019.52,123540.76,0
124801.38,123540.76,126062.0,1
