WordCount_Midpoint,Bin_Start,Bin_End,Frequency
1.0450000000000002,-0.11,2.2,51
3.3000000000000003,2.2,4.4,174
5.5,4.4,6.6,475
7.7,6.6,8.8,1043
9.9,8.8,11.0,2980
12.1,11.0,13.2,2716
14.3,13.2,15.4,3543
16.5,15.4,17.6,4428
18.700000000000003,17.6,19.8,5768
20.9,19.8,22.0,10332
23.1,22.0,24.2,6333
25.299999999999997,24.2,26.4,5095
27.5,26.4,28.6,4458
29.700000000000003,28.6,30.8,4273
31.9,30.8,33.0,6526
34.1,33.0,35.2,4548
36.3,35.2,37.4,5243
38.5,37.4,39.6,5516
40.7,39.6,41.8,6736
42.9,41.8,44.0,12109
45.1,44.0,46.2,9363
47.3,46.2,48.4,9398
49.5,48.4,50.6,8215
51.7,50.6,52.8,6366
53.9,52.8,55.0,5442
56.1,55.0,57.2,1456
58.3,57.2,59.4,631
60.5,59.4,61.6,240
62.7,61.6,63.8,91
64.9,63.8,66.0,81
67.1,66.0,68.2,28
69.30000000000001,68.2,70.4,28
71.5,70.4,72.6,19
73.69999999999999,72.6,74.8,26
75.9,74.8,77.0,45
78.1,77.0,79.2,18
80.30000000000001,79.2,81.4,24
82.5,81.4,83.6,26
84.69999999999999,83.6,85.8,32
86.9,85.8,88.0,34
89.1,88.0,90.2,35
91.30000000000001,90.2,92.4,45
93.5,92.4,94.6,49
95.69999999999999,94.6,96.8,54
97.9,96.8,99.0,57
100.1,99.0,101.2,23
102.30000000000001,101.2,103.4,18
104.5,103.4,105.6,3
106.69999999999999,105.6,107.8,1
108.9,107.8,110.0,3
